Event,Suburb,PreRent,PostRent,Diff
Foreign Buyer Ban,Toorak,657.5,650.0,-7.5
Foreign Buyer Ban,Torquay,650.0,660.0,10.0
Foreign Buyer Ban,Traralgon,430.0,440.0,10.0
Foreign Buyer Ban,West Footscray,522.5,550.0,27.5
Foreign Buyer Ban,Whittlesea,532.5,540.0,7.5
Foreign Buyer Ban,Williamstown,637.5,650.0,12.5
Foreign Buyer Ban,Wodonga,460.0,480.0,20.0
RBA Easing Cycle Start,Altona,535.0,550.0,15.0
RBA Easing Cycle Start,Armadale,585.75,622.5,36.75
RBA Easing Cycle Start,Bairnsdale,431.25,455.0,23.75
RBA Easing Cycle Start,Balwyn,690.0,710.0,20.0
RBA Easing Cycle Start,Bayswater,516.25,550.0,33.75
RBA Easing Cycle Start,Benalla,411.25,441.5,30.25
RBA Easing Cycle Start,Bendigo,432.5,455.0,22.5
RBA Easing Cycle Start,Bentleigh,652.5,680.0,27.5
RBA Easing Cycle Start,Berwick,558.75,597.5,38.75
RBA Easing Cycle Start,Blackburn,572.0,600.0,28.0
RBA Easing Cycle Start,Boronia,520.75,555.0,34.25
RBA Easing Cycle Start,Box Hill,593.75,600.0,6.25
RBA Easing Cycle Start,Brighton,715.25,762.5,47.25
RBA Easing Cycle Start,Brighton East,858.25,800.0,-58.25
RBA Easing Cycle Start,Brunswick,572.5,597.5,25.0
RBA Easing Cycle Start,Carlton North,687.5,735.0,47.5
RBA Easing Cycle Start,Carnegie,537.5,555.0,17.5
RBA Easing Cycle Start,Castlemaine,453.75,465.0,11.25
RBA Easing Cycle Start,Caulfield,623.75,650.0,26.25
RBA Easing Cycle Start,Cheltenham,591.25,620.0,28.75
RBA Easing Cycle Start,Clayton,576.25,600.0,23.75
RBA Easing Cycle Start,Corio,386.25,397.5,11.25
RBA Easing Cycle Start,Craigieburn,501.5,523.5,22.0
RBA Easing Cycle Start,Cranbourne,552.5,580.0,27.5
RBA Easing Cycle Start,Dandenong,485.0,525.0,40.0
RBA Easing Cycle Start,East Melbourne,606.25,629.5,23.25
RBA Easing Cycle Start,Echuca,447.5,450.0,2.5
RBA Easing Cycle Start,Elsternwick,568.75,599.0,30.25
RBA Easing Cycle Start,Elwood,567.5,575.0,7.5
RBA Easing Cycle Start,Essendon,520.0,550.0,30.0
RBA Easing Cycle Start,Ferntree Gully,555.0,585.0,30.0
RBA Easing Cycle Start,Fitzroy,660.0,697.5,37.5
RBA Easing Cycle Start,Footscray,507.5,520.0,12.5
RBA Easing Cycle Start,Frankston,505.0,535.0,30.0
RBA Easing Cycle Start,Hamilton,347.5,351.5,4.0
RBA Easing Cycle Start,Hawthorn,529.75,530.0,0.25
RBA Easing Cycle Start,Horsham,377.5,380.0,2.5
RBA Easing Cycle Start,Keilor,602.5,631.5,29.0
RBA Easing Cycle Start,Kew,660.75,680.0,19.25
RBA Easing Cycle Start,Lara,527.5,545.0,17.5
RBA Easing Cycle Start,Malvern,586.25,617.5,31.25
RBA Easing Cycle Start,Malvern East,588.75,610.0,21.25
RBA Easing Cycle Start,Melton,437.5,450.0,12.5
RBA Easing Cycle Start,Mildura,407.5,450.0,42.5
RBA Easing Cycle Start,Morwell,347.5,370.0,22.5
RBA Easing Cycle Start,Mount Waverley,652.5,670.0,17.5
RBA Easing Cycle Start,Noble Park,484.5,507.5,23.0
RBA Easing Cycle Start,North Bendigo,442.5,465.0,22.5
RBA Easing Cycle Start,North Geelong,457.5,477.5,20.0
RBA Easing Cycle Start,Northcote,609.5,640.0,30.5
RBA Easing Cycle Start,Pakenham,502.5,535.0,32.5
RBA Easing Cycle Start,Port Melbourne,707.5,760.0,52.5
RBA Easing Cycle Start,Portland,400.0,405.0,5.0
RBA Easing Cycle Start,Preston,512.5,550.0,37.5
RBA Easing Cycle Start,Reservoir,487.5,522.5,35.0
RBA Easing Cycle Start,Ringwood,529.75,552.5,22.75
RBA Easing Cycle Start,Rowville,602.5,650.0,47.5
RBA Easing Cycle Start,Seymour,396.25,400.0,3.75
RBA Easing Cycle Start,Shepparton,417.5,450.0,32.5
RBA Easing Cycle Start,South Melbourne,631.25,650.0,18.75
RBA Easing Cycle Start,South Yarra,595.0,600.0,5.0
RBA Easing Cycle Start,Springvale,534.5,550.0,15.5
RBA Easing Cycle Start,St Kilda,527.5,555.0,27.5
RBA Easing Cycle Start,Sunbury,483.75,510.0,26.25
RBA Easing Cycle Start,Sunshine,447.5,482.5,35.0
